#OTU ID,341F-785R-Margo100,341F-785R-Margo101,341F-785R-Margo102,341F-785R-Margo103,341F-785R-Margo104,341F-785R-Margo105,341F-785R-Margo106,341F-785R-Margo107,341F-785R-Margo10,341F-785R-Margo11,341F-785R-Margo12,341F-785R-Margo13,341F-785R-Margo14,341F-785R-Margo15,341F-785R-Margo16,341F-785R-Margo17,341F-785R-Margo18,341F-785R-Margo19,341F-785R-Margo1,341F-785R-Margo20,341F-785R-Margo21,341F-785R-Margo22,341F-785R-Margo23,341F-785R-Margo24,341F-785R-Margo25,341F-785R-Margo26,341F-785R-Margo27,341F-785R-Margo28,341F-785R-Margo29,341F-785R-Margo2,341F-785R-Margo30,341F-785R-Margo31,341F-785R-Margo32,341F-785R-Margo33,341F-785R-Margo34,341F-785R-Margo35,341F-785R-Margo36,341F-785R-Margo37,341F-785R-Margo38,341F-785R-Margo39,341F-785R-Margo3,341F-785R-Margo40,341F-785R-Margo41,341F-785R-Margo42,341F-785R-Margo43,341F-785R-Margo44,341F-785R-Margo45,341F-785R-Margo46,341F-785R-Margo47,341F-785R-Margo48,341F-785R-Margo49,341F-785R-Margo4,341F-785R-Margo50,341F-785R-Margo51,341F-785R-Margo52,341F-785R-Margo53,341F-785R-Margo54,341F-785R-Margo55,341F-785R-Margo56,341F-785R-Margo57,341F-785R-Margo58,341F-785R-Margo59,341F-785R-Margo5,341F-785R-Margo60,341F-785R-Margo61,341F-785R-Margo62,341F-785R-Margo63,341F-785R-Margo64,341F-785R-Margo65,341F-785R-Margo66,341F-785R-Margo67,341F-785R-Margo68,341F-785R-Margo69,341F-785R-Margo6,341F-785R-Margo70,341F-785R-Margo71,341F-785R-Margo72,341F-785R-Margo73,341F-785R-Margo74,341F-785R-Margo75,341F-785R-Margo76,341F-785R-Margo77,341F-785R-Margo78,341F-785R-Margo79,341F-785R-Margo7,341F-785R-Margo80,341F-785R-Margo81,341F-785R-Margo82,341F-785R-Margo83,341F-785R-Margo84,341F-785R-Margo85,341F-785R-Margo86,341F-785R-Margo87,341F-785R-Margo88,341F-785R-Margo89,341F-785R-Margo8,341F-785R-Margo90,341F-785R-Margo91,341F-785R-Margo92,341F-785R-Margo93,341F-785R-Margo94,341F-785R-Margo95,341F-785R-Margo96,341F-785R-Margo97,341F-785R-Margo98,341F-785R-Margo99,341F-785R-Margo9
D_0__Archaea;D_1__Euryarchaeota,0,2.05E-05,0.001549417,0,0,0,0,0,5.23E-05,0,0.00480738,0,0.002002812,0.005684256,0,0,0,0,0.047508466,0,0,0,0,0.010163866,0,0,0,0,0.015356265,0.003447116,0,0,0,0.048505993,0.003550554,0,0.003207698,0,0.084038804,7.98E-05,0.025210608,0.001253482,0.049351852,0.00422126,0.04748327,0,0,5.93E-05,0,0,0,0.0017239,0.056994253,0.000317058,0.027512297,1.93E-05,0.01310717,0.035092455,4.81E-05,0,0.063404174,0.013693704,0,0,0,0,0.024374869,0,0,0.006494444,0.028128866,0,0.118288679,0,3.61E-05,0.089991446,0.016829148,0.01070029,0,0,0.032525165,0,0,0,0.000165071,0,4.48E-05,0,0.000610128,0,0,0,0,0,0.092393175,0.003962424,0,0,0,0,1.50E-05,0.049744898,0,0.007930742,0.022267133,4.43E-05,0
D_0__Bacteria;D_1__Actinobacteria,0.012874828,0.004416145,0.039480349,0.040205618,0.014579695,0.01621499,0.005765498,0.009630005,0.006174131,0.011915064,0.011563698,0.01718498,0.04836579,0.017803518,0.007117907,0.04529391,0.014978876,0.004859424,0.018190614,0.02859981,0.046379015,0.037400908,0.335962346,0.014312383,0.147476901,0.045885381,0.085208361,0.062362896,0.004124254,0.024970573,0.044761774,0.029923752,0.03247704,0.020707895,0.015185448,0.017029592,0.030874098,0.006896871,0.090360789,0.016113593,0.008361934,0.010376045,0.086203704,0.037497944,0.009426826,0.011303733,0.031848817,0.146695134,0.01722251,0.02396285,0.038236152,0.005102744,0.05459373,0.032075671,0.019914424,0.017377902,0.071850791,0.076258604,0.05559296,0.055118631,0.080175394,0.003625685,0.004932938,0.085806898,0.116125006,0.007869381,0.005043076,0.035186817,0.030360092,0.015009381,0.039208304,0.014813185,0.075505666,0.011846154,0.034758102,0.10188195,0.04740999,0.029613222,0.204840614,0.120896076,0.006223617,0.06541398,0.033808277,0.06559648,0.006932981,0.027343521,0.017428706,0.123737674,0.202562538,0.014287604,0.15373229,0.05362392,0.011475274,0.01773727,0.022717215,0.028360269,0.018955053,0.06824985,0.015720428,0.054093233,0.080361439,0.043845663,0.048049366,0.009928563,0.015374066,0.013922142,0.04109749
D_0__Bacteria;D_1__Bacteroidetes,0.169628611,0.823210434,0.08208933,0.002264243,0.253853747,0.047813433,0.183011759,0.09879806,0.164974885,0.311322639,0.437991295,0.110389311,0.2226957,0.252681253,0.056679628,0.246495465,0.265074894,0.629364804,0.135123367,0.233847937,0.484318571,0.195609459,0.270830683,0.485272765,0.045131485,0.166342351,0.047264013,0.010654967,0.553966304,0.330334622,0.105222207,0.214213782,0.115666179,0.21523831,0.179712678,0.191513121,0.097834804,0.280873912,0.025142608,0.019862795,0.324118565,0.013649025,0.232037037,0.112987227,0.01640966,0.239932612,0.107043743,0.000385494,0.080352514,0.041639942,0.008432106,0.23169218,0.04928348,0.172690763,0.130403487,0.351449764,0.033777582,0.167903901,0.087861883,0.138093979,0.100339265,0.335810386,0.140572608,0.053720363,0.025970909,0.121964511,0.376969952,0.113437322,0.069150323,0.071727522,0.004840531,0.096139039,0.149793498,0.268384615,0.152364779,0.404704876,0.050788732,0.376963708,0.134490016,0.042147614,0.021539128,0.033022015,0.008584231,0.00309648,0.648728953,0.058141577,0.028517664,0.060948081,0.004270897,0.038364863,0.055825756,0.122598652,0.08420705,0.078535174,0.04813886,0.156983215,0.284061923,0.137697066,0.181387451,0.004348821,0.046578061,0.252471301,0.039425783,0.21585543,0.099606626,0.008911945,0.128896673
D_0__Bacteria;D_1__Cyanobacteria,0,0,0,0,0,7.56E-05,0,3.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.28E-05,0,0,0,0,4.58E-05,0,0,5.63E-05,0,0,0,0,0.000109,0,0,0.000696379,0,0,0,5.43E-05,0.000396458,2.97E-05,0,0,2.65E-05,0,0,0,0,0,0,0,0,0,0,0,0,7.28E-05,4.80E-05,0,7.00E-05,0,5.79E-05,0.000144321,0.000107567,3.67E-05,0,0,3.61E-05,0,0,0,0,3.91E-05,0,0,0.008760447,0,0,0,2.24E-05,0,0,0,2.64E-05,0.000178153,0,0.000109152,9.83E-05,0,0,0,0,3.81E-05,0,0,2.58E-05,0,0,4.43E-05,0
D_0__Bacteria;D_1__Firmicutes,0.803081155,0.168655643,0.789606984,0.951900129,0.696560103,0.932532033,0.808282909,0.751067989,0.747854751,0.637688877,0.541544858,0.867265607,0.688285678,0.612612613,0.828511171,0.694722582,0.714057099,0.362582437,0.772085148,0.693638508,0.467021479,0.70661969,0.27413815,0.426813248,0.797085999,0.553386479,0.715883371,0.895330617,0.313882064,0.635908862,0.828825118,0.665371889,0.844269932,0.691519892,0.795542689,0.788525963,0.840817963,0.706119237,0.741706936,0.751675175,0.63950078,0.904387187,0.608425926,0.722109533,0.876927553,0.638823977,0.841416678,0.454289357,0.878002419,0.80062601,0.592448227,0.732864432,0.722157562,0.787994082,0.816811293,0.626066853,0.859419172,0.7111621,0.840194287,0.790859824,0.478843938,0.634135379,0.852979108,0.697272098,0.846238779,0.867136068,0.579673601,0.835052081,0.890900663,0.876244768,0.891572097,0.837458292,0.648628614,0.713538462,0.790331322,0.292472198,0.870811544,0.490032373,0.657666444,0.831936876,0.848360212,0.839263213,0.889613332,0.874837027,0.321888412,0.605480415,0.937453796,0.804562196,0.724222087,0.894695065,0.779075915,0.62519671,0.833319574,0.893358075,0.675566701,0.796625262,0.623801566,0.735032928,0.760852299,0.92885481,0.868474862,0.636479592,0.904520926,0.67798765,0.827384604,0.859758801,0.823234092
D_0__Bacteria;D_1__Fusobacteria,0,2.05E-05,0,6.12E-05,0,0,2.85E-05,0,0,0.000133129,0,0,4.26E-05,0.000536251,6.59E-05,0,0,0,4.84E-05,0,0,0.003591029,0,3.46E-05,0,0,0,0,0,0,4.58E-05,0,0,0,0.000109248,0,0,0,3.63E-05,0,0,0,0,0,0,0,0,0.039972719,0,2.57E-05,0,0,0,5.28E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18E-05,0,0,0,3.67E-05,0,0,0,0.000171086,0,6.82E-05,0,0,0,7.41E-05,0,0,0,0,0,0.000178211,0,0,0,0,0,0,4.92E-05,0,8.80E-05,4.99E-05,0,0,1.50E-05,0.004304847,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria,0.000440165,0.001109171,0.001460028,0.000673153,0.002467917,0.001020524,0.001712524,0.0011947,0.001046463,0.007654929,0.002696031,0.002994702,0.003451656,0.002788503,0.000395439,0.001060196,0.005249008,0.003123915,0.000967586,0.000579446,0.00180574,0.002100413,0.002925836,0.007674756,0.002132196,0.002134204,0.002596192,0.005014102,0.018164268,0.00315285,0.001006911,0.009782765,0.001996539,0.0007878,0.001201726,0.000977108,0.018444266,0.002592113,0.000472332,0.000638162,0.001372855,0.06448468,0.001296296,0.001315717,0.000116381,0.007880007,0.016519096,0.357975269,0.001209608,0.000282218,0.004746374,0.003034064,0.001127519,0.005178609,0.002719239,0.002716501,0.001138158,0.005601296,0.005482351,0.002048774,0.000736141,0.00158811,0.000709311,0.021415304,0.002064231,0.000544971,0.002241367,0.00813598,0.001651265,0.023524318,0.001237025,0.001943314,0.003547601,0.003153846,0.002493045,0.109751925,0.000430413,0.025626171,0.000692983,0.00023437,0.003030631,0.000592988,0.000302084,0.001466754,0.014856388,0.000702617,0.001321714,0.007484852,0.007931666,0.014419897,0.002326073,0.000771994,0.002806902,0.000709491,0.000491715,0.007746761,0.000703668,0.021103572,0.001506313,0.000343328,0.003277604,0.009805485,0.004983088,0.022823586,0.001912736,0.000576394,0.004261529
D_0__Bacteria;D_1__Saccharibacteria,0,0.000575126,0.000238372,0.003916529,0.000151872,0.000453566,0.000171252,3.62E-05,0,6.66E-05,9.74E-05,9.21E-05,0.000255678,0,0,0.0001178,0.000640123,0,0.000145138,0,0.000285117,0.000135511,0.00012721,3.46E-05,0.000888415,0.000376624,0.000532552,0.000626763,0.00043875,0.00042038,0.00068653,0.000143864,0.003726873,0.0003939,0.00027312,0.000279174,0.002806736,0.000185151,3.63E-05,0.001356094,0,0.002158774,0.0025,0.000383751,0.000116381,0.000163035,0.001585833,0.00017792,0.000288002,0.000641404,0.000265161,6.90E-05,0.000618317,0.000105686,0.000159955,0.001926597,0.000624151,0.000877311,0.001250361,0,0.000128025,3.00E-05,0.000128966,0.002367338,0.004800538,2.18E-05,0.000490299,0.002487433,0.000289696,0.000649444,0,0.000256664,0.001376681,0.001076923,0.000216787,0.000171086,2.15E-05,0.001090475,0.00012833,0.000273432,0.000108237,0.002223705,0.000402779,0.000488918,0,0.000175654,0.000560048,0.000594036,0.001220256,0.000132293,0.000634384,0.000801687,0.000577892,0.001255253,0,8.90E-05,0.000131938,0.000249451,5.48E-05,0.000381476,0.000436012,0.000797194,0.000929488,0.00012108,3.61E-05,0.000399042,5.84E-05
D_0__Bacteria;D_1__Spirochaetae,0,0,0,0,0,0,0,0,0,0,0,0,0.001576682,0.037001287,0,0,0,0,0,0,0,0,0,0,0,0,0.000399414,0,0,0,0,0,0,0,0.001201726,0.000697934,0,0,0,0,0,0,0,0,5.82E-05,0,0,0,0,0,0,0.003654668,0,0,0,0,7.34E-05,0,0,0,0.00307259,0.000479429,0,0,0,0,7.00E-05,0,0,0,0,0.04766619,0,0,0.000686491,0,0,0,0,0,0,0.000296494,0,0,0,0,0,0,0,0.000132293,0,0,0,0,0.000885086,0,0.006904741,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Tenericutes,0.00352132,0.001129711,0.001013081,0.000856741,0.030526236,0.001322901,0.000599383,0.105531822,0.001360402,0,0.000552199,0.001290025,4.26E-05,0.000643501,0.032755553,0.003946283,0,6.94E-05,0.002805999,4.14E-05,9.50E-05,0.006707772,0.001908154,0.015003803,0.002842928,0.071181972,0.001264812,0.026010655,0.001228501,0.00126114,0.019222848,0.001150914,0.001464129,0.022114681,0.000491615,0.000977108,0.004811548,0.000648028,0.01297097,0.000638162,0.001185647,0.002506964,0.008240741,0.011128776,0.03503055,0.005977936,0.001057222,0.000415147,0.013708888,0.053698335,0.301063294,0.004206316,0.099003419,0.001585289,0.00199944,0.000385319,0.004148768,0.001889594,0.007694527,0.000429582,0.010305979,0.004105115,0.000612587,0.087227301,0.002160242,0.001634913,0.000140085,0.00476758,0.000289696,0.000938086,0.03345345,0.001466652,0.000953087,0.000692308,0.000541966,0.000684346,0.002109024,0.001397172,0.00025666,0.00427726,0.00238121,0.058520495,0.003247407,0.008474576,0.000165071,0.190760583,0.006182934,0.001009861,0.035997559,0.037967985,0.000317192,0.003147362,0.000660447,0.005785079,0.019668584,4.45E-05,0.004441903,0.000997805,0.031605182,0.006027314,0.000736709,0.00255102,0.001936433,0.016497155,0.005449493,0.023720848,0.000467017
D_0__Bacteria;D_1__Verrucomicrobia,0.010343879,0.000821608,0.082208516,0,0,0,2.85E-05,0.033306784,0.078432398,0.030885975,0.000649646,0.00059894,0.033195551,0.07024882,0.072299479,0.008010366,0,0,0.022012579,0.043168743,9.50E-05,0.046615624,0.112199466,0.040655466,0.004442075,0.156110728,0.145187059,0,0.090821341,0.00042038,9.15E-05,0.077686664,0,0.000506443,0,0,0.000400962,0.002592113,0.044580896,0.207721761,0,0.000208914,0.011851852,0.109972041,0.014373,0.094288354,0,0,0.008467254,0.078071683,0.052236629,0.017652738,0.015785262,0,0,1.93E-05,0.015126482,0.000944797,0.001394633,0.013151808,0.256849315,0.006502262,6.45E-05,0.051571548,0.000336038,0.000588569,0.010856623,0,0.00709754,0.004979073,0.001452159,0,0.001270783,0.000230769,0.018173935,8.55E-05,0.011212258,0.064338047,0,3.91E-05,0.085615326,7.41E-05,0.053494109,0.044980443,0.006932981,0.116575912,0.008199108,0,0.023184869,0,0.007903362,0.188752635,0.066292413,0.002510506,0.139892806,0.00605494,0.060867271,0.036369986,0.008599677,0.005760281,4.51E-05,0,0,0.048522824,0.027608358,0.092223109,0.001809691
No blast hit;Other,0.000110041,4.11E-05,0.002353923,0.000122392,0.00186043,0.000566958,0.000399589,0.000398233,0.000104646,0.000332823,9.74E-05,0.000184289,8.52E-05,0,0.002174916,0.000353399,0,0,0.001112724,0.000124167,0,0.001219595,0.001908154,3.46E-05,0,0.00451949,0.001664226,0,0.002018252,8.41E-05,9.15E-05,0.00172637,0.000399308,0.000168814,0.002731196,0,0.000801925,9.26E-05,0.000544999,0.001914486,0.00024961,0.000278552,9.26E-05,0.000383751,5.82E-05,0.001576001,0.000132153,0,0.000748805,0.001051902,0.002545541,0,0.000436459,0,0.000479866,3.85E-05,0.000734295,0.000269942,0.000480908,0.000297403,0.00614518,3.00E-05,0,0.000546309,0.002256253,0.000239787,7.00E-05,0.000880966,0.000202787,0.000288642,0,0.000183332,0.000635391,0.001076923,0.000361311,8.55E-05,0.000387372,0.000170387,0.001924953,0.000156247,0.000216474,0.000518864,0.001787333,0.001059322,0.000330142,0.00081972,0.000268823,0.00148509,0,0,0.000158596,0.004928887,0.000660447,0,9.83E-05,0.000133565,4.40E-05,0.000249451,0.000273875,0.00015259,6.01E-05,0,0.000129096,0.00033297,0.000360894,0.000399042,0.000175131
